ID,Target
0,TVProgram-Play
1,HomeAppliance-Control
2,Audio-Play
3,Alarm-Update
4,HomeAppliance-Control
5,FilmTele-Play
6,FilmTele-Play
7,FilmTele-Play
8,Calendar-Query
9,Video-Play
10,Alarm-Update
11,Music-Play
12,Travel-Query
13,Radio-Listen
14,Radio-Listen
15,Alarm-Update
16,Video-Play
17,Weather-Query
18,Weather-Query
19,FilmTele-Play
20,Video-Play
21,FilmTele-Play
22,Weather-Query
23,Weather-Query
24,FilmTele-Play
25,Music-Play
26,Video-Play
27,Video-Play
28,FilmTele-Play
29,Alarm-Update
30,FilmTele-Play
31,Music-Play
32,Radio-Listen
33,Video-Play
34,Radio-Listen
35,Video-Play
36,Video-Play
37,Video-Play
38,FilmTele-Play
39,Video-Play
40,Weather-Query
41,Radio-Listen
42,HomeAppliance-Control
43,Music-Play
44,Video-Play
45,Calendar-Query
46,Alarm-Update
47,FilmTele-Play
48,Travel-Query
49,Calendar-Query
50,Travel-Query
51,FilmTele-Play
52,Weather-Query
53,Audio-Play
54,Radio-Listen
55,Calendar-Query
56,Alarm-Update
57,Travel-Query
58,Music-Play
59,Alarm-Update
60,Weather-Query
61,FilmTele-Play
62,Audio-Play
63,Video-Play
64,Video-Play
65,Radio-Listen
66,TVProgram-Play
67,Other
68,Video-Play
69,FilmTele-Play
70,Music-Play
71,Calendar-Query
72,Weather-Query
73,Radio-Listen
74,Weather-Query
75,Audio-Play
76,Video-Play
77,Travel-Query
78,Video-Play
79,Alarm-Update
80,FilmTele-Play
81,Travel-Query
82,Music-Play
83,HomeAppliance-Control
84,FilmTele-Play
85,Video-Play
86,Travel-Query
87,Calendar-Query
88,Music-Play
89,Music-Play
90,Travel-Query
91,Alarm-Update
92,FilmTele-Play
93,Video-Play
94,Music-Play
95,Weather-Query
96,Calendar-Query
97,TVProgram-Play
98,Audio-Play
99,Radio-Listen
100,HomeAppliance-Control
101,Video-Play
102,Music-Play
103,Video-Play
104,Audio-Play
105,Alarm-Update
106,Weather-Query
107,Radio-Listen
108,Weather-Query
109,Weather-Query
110,Audio-Play
111,Audio-Play
112,HomeAppliance-Control
113,Alarm-Update
114,HomeAppliance-Control
115,FilmTele-Play
116,FilmTele-Play
117,TVProgram-Play
118,Calendar-Query
119,Video-Play
120,FilmTele-Play
121,Alarm-Update
122,Calendar-Query
123,Music-Play
124,TVProgram-Play
125,HomeAppliance-Control
126,Travel-Query
127,Audio-Play
128,Alarm-Update
129,FilmTele-Play
130,Calendar-Query
131,Video-Play
132,Music-Play
133,Video-Play
134,Video-Play
135,Video-Play
136,Weather-Query
137,Music-Play
138,Music-Play
139,FilmTele-Play
140,Travel-Query
141,Video-Play
142,Music-Play
143,Alarm-Update
144,TVProgram-Play
145,Calendar-Query
146,HomeAppliance-Control
147,FilmTele-Play
148,FilmTele-Play
