ID,Target
0,TVProgram-Play
1,HomeAppliance-Control
2,Audio-Play
3,Alarm-Update
4,HomeAppliance-Control
5,Audio-Play
6,FilmTele-Play
7,Music-Play
8,Calendar-Query
9,Video-Play
10,Music-Play
11,Music-Play
12,Travel-Query
13,Video-Play
14,Radio-Listen
15,Alarm-Update
16,Video-Play
17,Weather-Query
18,Weather-Query
19,FilmTele-Play
20,Video-Play
21,FilmTele-Play
22,Weather-Query
23,Weather-Query
24,Video-Play
25,Other
26,Weather-Query
27,Music-Play
28,Music-Play
29,Alarm-Update
30,Music-Play
31,Music-Play
32,Music-Play
33,Video-Play
34,Radio-Listen
35,Video-Play
36,Video-Play
37,Video-Play
38,FilmTele-Play
39,Video-Play
40,Weather-Query
41,Radio-Listen
42,HomeAppliance-Control
43,Music-Play
44,Audio-Play
45,Calendar-Query
46,Video-Play
47,Music-Play
48,Weather-Query
49,Calendar-Query
50,Travel-Query
51,FilmTele-Play
52,Music-Play
53,Video-Play
54,Radio-Listen
55,Calendar-Query
56,Radio-Listen
57,Music-Play
58,Music-Play
59,Alarm-Update
60,Weather-Query
61,FilmTele-Play
62,Audio-Play
63,Video-Play
64,Radio-Listen
65,Radio-Listen
66,TVProgram-Play
67,Radio-Listen
68,Music-Play
69,FilmTele-Play
70,Other
71,Calendar-Query
72,Music-Play
73,Radio-Listen
74,Video-Play
75,Audio-Play
76,Video-Play
77,HomeAppliance-Control
78,Video-Play
79,Alarm-Update
80,FilmTele-Play
81,Travel-Query
82,Music-Play
83,HomeAppliance-Control
84,Music-Play
85,Video-Play
86,Music-Play
87,Calendar-Query
88,Music-Play
89,Music-Play
90,Travel-Query
91,Alarm-Update
92,FilmTele-Play
93,Music-Play
94,Video-Play
95,Music-Play
96,Calendar-Query
97,Radio-Listen
98,Audio-Play
99,Radio-Listen
100,Music-Play
101,Other
102,Music-Play
103,Video-Play
104,Audio-Play
105,Alarm-Update
106,Radio-Listen
107,Radio-Listen
108,Music-Play
109,Music-Play
110,Audio-Play
111,Audio-Play
112,HomeAppliance-Control
113,Alarm-Update
114,Music-Play
115,Music-Play
116,Other
117,Music-Play
118,Calendar-Query
119,Music-Play
120,Calendar-Query
121,HomeAppliance-Control
122,Calendar-Query
123,Audio-Play
124,TVProgram-Play
125,TVProgram-Play
126,Travel-Query
127,Audio-Play
128,Alarm-Update
129,Video-Play
130,Calendar-Query
131,Radio-Listen
132,Music-Play
133,Music-Play
134,Audio-Play
135,Music-Play
136,Weather-Query
137,Music-Play
138,Music-Play
139,Music-Play
140,Travel-Query
141,Video-Play
142,Music-Play
143,Music-Play
144,Music-Play
145,Calendar-Query
146,HomeAppliance-Control
147,Music-Play
148,Music-Play
149,Alarm-Update
150,FilmTele-Play
151,Video-Play
152,Music-Play
153,HomeAppliance-Control
154,Radio-Listen
155,Calendar-Query
